id,book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,,,
11,77203,77203,3295919,283,1594480001,9781594480000,Khaled Hosseini,2003,The Kite Runner ,The Kite Runner,eng,4.26,1813044,1878095,59730,34288,59980,226062,628174,929591,https://images.gr-assets.com/books/1484565687m/77203.jpg,https://images.gr-assets.com/books/1484565687s/77203.jpg,,,
12,13335037,13335037,13155899,210,62024035,9780062024040,Veronica Roth,2011,Divergent,"Divergent (Divergent, #1)",eng,4.24,1903563,2216814,101023,36315,82870,310297,673028,1114304,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg,,,
13,5470,5470,153313,995,451524934,9780451524940,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,1984,eng,4.14,1956832,2053394,45518,41845,86425,324874,692021,908229,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg,,,
14,7613,7613,2207778,896,452284244,9780452284240,George Orwell,1945,Animal Farm: A Fairy Story,Animal Farm,eng,3.87,1881700,1982987,35472,66854,135147,433432,698642,648912,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg,,,
15,48855,48855,3532896,710,553296981,9780553296980,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,eng,4.1,1972666,2024493,20825,45225,91270,355756,656870,875372,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg,,,
16,2429135,2429135,1708725,274,307269752,9780307269750,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,4.11,1808403,1929834,62543,54835,86051,285413,667485,836050,https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg,,,
17,6148028,6148028,6171458,201,439023491,9780439023500,Suzanne Collins,2009,Catching Fire,"Catching Fire (The Hunger Games, #2)",eng,4.3,1831039,1988079,88538,10492,48030,262010,687238,980309,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg,,,
18,5,5,2402163,376,043965548X,9780439655480,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,4.53,1832823,1969375,36099,6716,20413,166129,509447,1266670,https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg,,,
19,34,34,3204327,566,618346252,9780618346260,J.R.R. Tolkien,1954, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,1766803,1832541,15333,38031,55862,202332,493922,1042394,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg,,,
20,7260188,7260188,8812783,239,439023513,9780439023510,Suzanne Collins,2010,Mockingjay,"Mockingjay (The Hunger Games, #3)",eng,4.03,1719760,1870748,96274,30144,110498,373060,618271,738775,https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419s/7260188.jpg,,,
21,2,2,2809203,307,439358078,9780439358070,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,1735368,1840548,28685,9528,31577,180210,494427,1124806,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg,,,
22,12232938,12232938,1145090,183,316166685,9780316166680,Alice Sebold,2002,The Lovely Bones,The Lovely Bones,eng,3.77,1605173,1661562,36642,62777,131188,404699,583575,479323,https://images.gr-assets.com/books/1457810586m/12232938.jpg,https://images.gr-assets.com/books/1457810586s/12232938.jpg,,,
23,15881,15881,6231171,398,439064864,9780439064870,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,4.37,1779331,1906199,34172,8253,42251,242345,548266,1065084,https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725s/15881.jpg,,,
24,6,6,3046572,332,439139600,9780439139600,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,1753043,1868642,31084,6676,20210,151785,494926,1195045,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg,,,
25,136251,136251,2963218,263,545010225,9780545010220,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,1746574,1847395,51942,9363,22245,113646,383914,1318227,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg,,,
26,968,968,2982101,350,307277674,9780307277670,Dan Brown,2003,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,1557292,41560,71345,126493,340790,539277,479387,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg,,,
27,1,1,41335427,275,439785960,9780439785970,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823,1785676,27520,7308,21516,136333,459028,1161491,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg,,,
28,7624,7624,2766512,458,140283331,9780140283330,William Golding,1954,Lord of the Flies ,Lord of the Flies,eng,3.64,1605019,1671484,26886,92779,160295,425648,564916,427846,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg,,,
29,18135,18135,3349450,1937,743477111,9780743477120,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng,3.73,1628519,1672889,14778,57980,153179,452673,519822,489235,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg,,,
30,8442457,19288043,13306276,196,297859382,9780297859380,Gillian Flynn,2012,Gone Girl,Gone Girl,eng,4.03,512475,1626519,121614,38874,80807,280331,616031,610476,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg,,,
31,4667024,4667024,4717423,183,399155341,9780399155340,Kathryn Stockett,2009,The Help,The Help,eng,4.45,1531753,1603545,78204,10235,25117,134887,490754,942552,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365s/4667024.jpg,,,
32,890,890,40283,373,142000671,9780142000670,John Steinbeck,1937,Of Mice and Men ,Of Mice and Men,eng,3.84,1467496,1518741,24642,46630,110856,355169,532291,473795,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233s/890.jpg,,,
33,930,929,1558965,220,739326228,9780739326220,Arthur Golden,1997,Memoirs of a Geisha,Memoirs of a Geisha,eng,4.08,1300209,1418172,25605,23500,59033,258700,517157,559782,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,
34,10818853,10818853,15732562,169,1612130291,9781612130290,E.L. James,2011,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,1338493,1436818,75437,165455,152293,252185,294976,571909,https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843s/10818853.jpg,,,
35,865,865,4835472,458,61122416,9780061122420,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,The Alchemist,eng,3.82,1299566,1403995,55781,74846,123614,289143,412180,504212,https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266s/865.jpg,,,
36,3636,3636,2543234,192,385732554,9780385732550,Lois Lowry,1993,The Giver,"The Giver (The Giver, #1)",eng,4.12,1296825,1345445,54084,26497,59652,225326,448691,585279,https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg,,,
37,100915,100915,4790821,474,60764899,9780060764890,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,1531800,1584884,15186,19309,55542,262038,513366,734629,https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg,,,
38,14050,18619684,2153746,167,965818675,9780965818670,Audrey Niffenegger,2003,The Time Traveler's Wife,The Time Traveler's Wife,eng,3.95,746287,1308667,43382,44339,85429,257805,427210,493884,https://images.gr-assets.com/books/1437728815m/14050.jpg,https://images.gr-assets.com/books/1437728815s/14050.jpg,,,
39,13496,13496,1466917,101,553588486,9780553588480,George R.R. Martin,1996,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,4.45,1319204,1442220,46205,19988,28983,114092,404583,874574,https://images.gr-assets.com/books/1436732693m/13496.jpg,https://images.gr-assets.com/books/1436732693s/13496.jpg,,,
40,19501,19501,3352398,185,143038419,9780143038410,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",eng,3.51,1181647,1206597,49714,100373,149549,310212,332191,314272,https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414s/19501.jpg,,,
41,28187,28187,3346751,159,786838655,9780786838650,Rick Riordan,2005,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,4.23,1366265,1411114,46006,18303,48294,219638,435514,689365,https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609s/28187.jpg,,,
42,1934,1934,3244642,1707,451529308,9780451529300,Louisa May Alcott,1868,Little Women,"Little Women (Little Women, #1)",en-US,4.04,1257121,1314293,17090,31645,70011,250794,426280,535563,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,
43,10210,10210,2977639,2568,142437204,9780142437210,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,Jane Eyre,eng,4.1,1198557,1286135,31212,35132,64274,212294,400214,574221,https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269s/10210.jpg,,,
44,15931,15931,1498135,190,553816713,9780553816720,Nicholas Sparks,1996,The Notebook,"The Notebook (The Notebook, #1)",eng,4.06,1053403,1076749,17279,41395,63432,176469,298259,497194,https://images.gr-assets.com/books/1385738917m/15931.jpg,https://images.gr-assets.com/books/1385738917s/15931.jpg,,,
45,4214,4214,1392700,264,770430074,9780770430080,Yann Martel,2001,Life of Pi,Life of Pi,,3.88,1003228,1077431,42962,39768,74331,218702,384164,360466,https://images.gr-assets.com/books/1320562005m/4214.jpg,https://images.gr-assets.com/books/1320562005s/4214.jpg,,,
46,43641,43641,3441236,128,1565125606,9781565125600,Sara Gruen,2006,Water for Elephants,Water for Elephants,eng,4.07,1068146,1108839,55732,16705,49832,200154,417328,424820,https://images.gr-assets.com/books/1494428973m/43641.jpg,https://images.gr-assets.com/books/1494428973s/43641.jpg,,,
47,19063,19063,878368,251,375831002,9780375831000,Markus Zusak,2005,The Book Thief,The Book Thief,eng,4.36,1159741,1287798,93611,17892,35360,135272,377218,722056,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681s/19063.jpg,,,
48,4381,4381,1272463,507,307347974,9780307347980,Ray Bradbury,1953,Fahrenheit 451,Fahrenheit 451,spa,3.97,570498,1176240,30694,28366,64289,238242,426292,419051,https://images.gr-assets.com/books/1351643740m/4381.jpg,https://images.gr-assets.com/books/1351643740s/4381.jpg,,,
49,49041,49041,3203964,194,316160199,9780316160190,Stephenie Meyer,2006,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",eng,3.52,1149630,1199000,44020,102837,160660,294207,290612,350684,https://images.gr-assets.com/books/1361039440m/49041.jpg,https://images.gr-assets.com/books/1361039440s/49041.jpg,,,
50,30119,30119,30518,45,60513039,9780060513030,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,eng,4.29,1016888,1023781,9234,16590,30792,139024,293222,544153,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448s/30119.jpg,,,
51,256683,256683,2267189,178,1416914285,9781416914280,Cassandra Clare,2007,City of Bones,"City of Bones (The Mortal Instruments, #1)",eng,4.12,1154031,1241799,51589,34122,65349,203466,356048,582814,https://images.gr-assets.com/books/1432730315m/256683.jpg,https://images.gr-assets.com/books/1432730315s/256683.jpg,,,
52,428263,428263,2675454,185,316160202,9780316160210,Stephenie Meyer,2007,Eclipse,"Eclipse (Twilight, #3)",en-US,3.69,1134511,1176642,35216,83094,124293,260763,309358,399134,https://images.gr-assets.com/books/1361038355m/428263.jpg,https://images.gr-assets.com/books/1361038355s/428263.jpg,,,
53,113436,113436,3178011,217,375826696,9780375826700,Christopher Paolini,2002,Eragon,"Eragon (The Inheritance Cycle, #1)",en-US,3.86,1104021,1125231,18280,50563,88536,240157,337943,408032,https://images.gr-assets.com/books/1366212852m/113436.jpg,https://images.gr-assets.com/books/1366212852s/113436.jpg,,,
54,11,386162,3078186,257,345391802,9780345391800,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,4.2,936782,1006479,20345,21764,41962,145173,299579,498001,https://images.gr-assets.com/books/1327656754m/11.jpg,https://images.gr-assets.com/books/1327656754s/11.jpg,,,
55,5129,5129,3204877,515,60929871,9780060929880,Aldous Huxley,1932,Brave New World,Brave New World,eng,3.97,1022601,1079135,20095,26367,60328,219895,389379,383166,https://images.gr-assets.com/books/1487389574m/5129.jpg,https://images.gr-assets.com/books/1487389574s/5129.jpg,,,
56,1162543,1162543,2960529,183,031606792X,9780316067930,Stephenie Meyer,2008,Breaking Dawn,"Breaking Dawn (Twilight, #4)",en-US,3.7,1070245,1107709,44550,100994,114893,213402,267706,410714,https://images.gr-assets.com/books/1361039438m/1162543.jpg,https://images.gr-assets.com/books/1361039438s/1162543.jpg,,,
57,37435,37435,3275013,125,142001740,9780142001740,Sue Monk Kidd,2001,The Secret Life of Bees,The Secret Life of Bees,en-US,4.01,916189,937393,26522,17500,45455,185631,347540,341267,https://images.gr-assets.com/books/1473454532m/37435.jpg,https://images.gr-assets.com/books/1473454532s/37435.jpg,,,
58,2956,2956,1835605,2277,142437174,9780142437180,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,eng,3.8,953758,1001491,12448,28467,76630,255722,344356,296316,https://images.gr-assets.com/books/1405973850m/2956.jpg,https://images.gr-assets.com/books/1405973850s/2956.jpg,,,
59,24178,24178,987048,180,64410935,9780064410940,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,Charlotte's Web,eng,4.15,1064521,1084842,13044,18450,41124,191415,346090,487763,https://images.gr-assets.com/books/1439632243m/24178.jpg,https://images.gr-assets.com/books/1439632243s/24178.jpg,,,
60,1618,1618,4259809,183,1400032717,9781400032720,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553,915790,35796,21049,58117,218218,355925,262481,https://images.gr-assets.com/books/1479863624m/1618.jpg,https://images.gr-assets.com/books/1479863624s/1618.jpg,,,
61,22557272,22557272,41107568,14,1594633665,9781594633670,Paula Hawkins,2015,The Girl on the Train,The Girl on the Train,eng,3.88,1008778,1226485,93600,27773,73897,273817,488447,362551,https://images.gr-assets.com/books/1490903702m/22557272.jpg,https://images.gr-assets.com/books/1490903702s/22557272.jpg,,,
62,119322,119322,1536771,287,679879242,9780679879240,Philip Pullman,1995,Northern Lights,"The Golden Compass (His Dark Materials, #1)",eng,3.94,953970,994914,14915,38382,64591,198764,313147,380030,https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg,,,
63,6185,6185,1565818,2498,393978893,9780393978900,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,Wuthering Heights,eng,3.82,899195,1001135,26157,46469,84084,215320,309180,346082,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,
64,10917,10917,1639903,125,743454537,9780743454540,Jodi Picoult,2004,My Sister's Keeper,My Sister's Keeper,eng,4.06,863879,887880,30719,17547,42763,162573,314003,350994,https://images.gr-assets.com/books/1369504683m/10917.jpg,https://images.gr-assets.com/books/1369504683s/10917.jpg,,,
65,4981,4981,1683562,241,385333846,9780385333850,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,eng,4.06,846488,891762,19646,24964,45518,152442,300948,367890,https://images.gr-assets.com/books/1440319389m/4981.jpg,https://images.gr-assets.com/books/1440319389s/4981.jpg,,,
66,18405,18405,3358283,409,446675539,9780446675540,Margaret Mitchell,1936,Gone with the Wind,Gone with the Wind,eng,4.28,873981,897303,16050,19996,33136,116160,234290,493721,https://images.gr-assets.com/books/1328025229m/18405.jpg,https://images.gr-assets.com/books/1328025229s/18405.jpg,,,
67,128029,128029,3271379,197,1594489505,9781594489500,Khaled Hosseini,2007,A Thousand Splendid Suns,A Thousand Splendid Suns,eng,4.34,818742,866065,43645,6509,18015,99030,295817,446694,https://images.gr-assets.com/books/1345958969m/128029.jpg,https://images.gr-assets.com/books/1345958969s/128029.jpg,,,
68,22628,22628,2236198,128,671027344,9780671027350,Stephen Chbosky,1999,The Perks of Being a Wallflower,The Perks of Being a Wallflower,eng,4.21,888806,954905,47116,14286,38658,143440,297501,461020,https://images.gr-assets.com/books/1167352178m/22628.jpg,https://images.gr-assets.com/books/1167352178s/22628.jpg,,,
69,11735983,11735983,15524542,164,7442912,9780007442910,Veronica Roth,2012,Insurgent,"Insurgent (Divergent, #2)",eng,4.07,836362,947338,55873,10641,44620,182131,339977,369969,https://images.gr-assets.com/books/1325667729m/11735983.jpg,https://images.gr-assets.com/books/1325667729s/11735983.jpg,,,
70,375802,375802,2422333,224,812550706,9780812550700,Orson Scott Card,1985,Ender's Game,"Ender's Game (Ender's Saga, #1)",eng,4.3,813439,873417,38054,15330,27612,103439,264207,462829,https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130s/375802.jpg,,,
71,18490,18490,4836639,2618,141439475,9780141439470,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",Frankenstein,eng,3.75,808589,883563,19993,29366,74142,231022,300495,248538,https://images.gr-assets.com/books/1381512375m/18490.jpg,https://images.gr-assets.com/books/1381512375s/18490.jpg,,,
72,11588,11588,849585,289,450040186,9780450040180,Stephen King,1977,The Shining,The Shining (The Shining #1),eng,4.17,791850,830881,14936,18487,28981,123862,277393,382158,https://images.gr-assets.com/books/1353277730m/11588.jpg,https://images.gr-assets.com/books/1353277730s/11588.jpg,,,
73,1656001,1656001,3328799,161,316068047,9780316068050,Stephenie Meyer,2008,The Host,"The Host (The Host, #1)",en-US,3.84,749780,777560,39778,44215,62501,154906,227180,288758,https://images.gr-assets.com/books/1318009171m/1656001.jpg,https://images.gr-assets.com/books/1318009171s/1656001.jpg,,,
74,99561,99561,919292,187,142402516,9780142402510,John Green,2005,Looking for Alaska,Looking for Alaska,eng,4.09,783470,831285,47128,16940,44232,147324,262932,359857,https://images.gr-assets.com/books/1394798630m/99561.jpg,https://images.gr-assets.com/books/1394798630s/99561.jpg,,,
75,227443,227443,3185154,193,014028009X,9780140280100,Helen Fielding,1996,,"Bridget Jones's Diary (Bridget Jones, #1)",eng,3.75,736498,754498,8157,28973,59309,198555,254836,212825,https://images.gr-assets.com/books/1292060045m/227443.jpg,https://images.gr-assets.com/books/1292060045s/227443.jpg,,,
76,14935,14935,2809709,1969,141439661,9780141439660,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,Sense and Sensibility,eng,4.06,738894,779382,11526,18430,34699,141987,272512,311754,https://images.gr-assets.com/books/1397245675m/14935.jpg,https://images.gr-assets.com/books/1397245675s/14935.jpg,,,
77,38709,38709,1679789,138,439244196,9780439244190,"Louis Sachar, Louis Sachar",1998,Holes,"Holes (Holes, #1)",eng,3.93,747445,764637,15832,15495,43786,176946,269153,259257,https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg,,,
78,5139,5139,38765,129,307275558,9780307275550,Lauren Weisberger,2003,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,3.7,665930,679845,8024,24231,58323,192366,226675,178250,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,
79,1381,1381,3356006,1703,143039954,9780143039950,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,The Odyssey,eng,3.73,670326,710757,8101,29703,65629,183082,224120,208223,https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285s/1381.jpg,,,
80,157993,157993,2180358,1708,156012197,9780156012200,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,The Little Prince,eng,4.28,738757,859286,24537,15039,32866,114714,228440,468227,https://images.gr-assets.com/books/1367545443m/157993.jpg,https://images.gr-assets.com/books/1367545443s/157993.jpg,,,
81,7445,7445,2944133,92,074324754X,9780743247540,Jeannette Walls,2005,The Glass Castle,The Glass Castle,eng,4.24,621099,637866,40777,7901,18922,85191,227750,298102,https://images.gr-assets.com/books/1400930557m/7445.jpg,https://images.gr-assets.com/books/1400930557s/7445.jpg,,,
82,1845,1845,3284484,108,385486804,9780385486800,Jon Krakauer,1996,Into the Wild,Into the Wild,eng,3.94,647684,665377,17299,19229,35567,135199,248287,227095,https://images.gr-assets.com/books/1403173986m/1845.jpg,https://images.gr-assets.com/books/1403173986s/1845.jpg,,,
83,1953,1953,2956372,525,141439602,9780141439600,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,A Tale of Two Cities,eng,3.81,637412,677713,13093,28904,55555,153305,216378,223571,https://images.gr-assets.com/books/1344922523m/1953.jpg,https://images.gr-assets.com/books/1344922523s/1953.jpg,,,
84,7677,6424171,3376836,176,030734813X,9780307348140,Michael Crichton,1990,Jurassic Park,"Jurassic Park (Jurassic Park, #1)",spa,3.96,447833,650483,8143,15736,34222,138327,231583,230615,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,
85,370493,370493,30530,81,60256656,9780060256650,Shel Silverstein,1964,The Giving Tree,The Giving Tree,eng,4.38,702332,708287,14368,15345,20408,76071,167542,428921,https://images.gr-assets.com/books/1174210942m/370493.jpg,https://images.gr-assets.com/books/1174210942s/370493.jpg,,,
86,32542,32542,1804929,158,385338600,9780385338610,John Grisham,1989,A Time to Kill,A Time to Kill,eng,4.03,597775,608824,4239,12106,25938,122675,218617,229488,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,
